Entity,Code,Year,10.5.1 - Return on assets (%) - FI_FSI_FSERA,10.5.1 - Regulatory capital to assets (%) - FI_FSI_FSKA,10.5.1 - Liquid assets to short term liabilities (%) - FI_FSI_FSLS,10.5.1 - Non-performing loans to total gross loans (%) - FI_FSI_FSANL,10.5.1 - Net open position in foreign exchange to capital (%) - FI_FSI_FSSNO,10.5.1 - Non-performing loans net of provisions to capital (%) - FI_FSI_FSKNL,10.5.1 - Regulatory Tier 1 capital to risk-weighted assets (%) - FI_FSI_FSKRTC
Luxembourg,LUX,2019,0.547820844212577,7.44086665982223,33.1973801908547,0.738897535704604,1.57111236163188,5.35619665049962,21.4204442196012
Macao,MAC,2010,0.814533858508823,4.24664052157741,69.3360433004126,0.393130048679923,187.752103777335,0.327008289270642,12.0836743187884
Macao,MAC,2011,0.853899984205539,4.00016076136015,66.2245207305781,0.344719585672998,182.276634003304,0.71071557911422,11.7463453667495
Macao,MAC,2012,0.874658832689182,3.97136636161539,61.7221849700797,0.187259446456941,143.908975055323,0.343183637120874,11.9428347819539
Macao,MAC,2013,0.958720287610697,3.68474668643624,65.2861941625197,0.0923353115576881,139.790452120568,-0.278063978992003,11.1937556843315
Macao,MAC,2014,1.02804510469519,3.64504033462709,60.1360794142796,0.118444607476519,143.105073253196,0.641316242653091,9.88865774645988
Macao,MAC,2015,1.02967790855055,4.28818093989301,60.468115259999,0.119843705534916,124.129335836902,0.204297573201151,11.5568503412575
Macao,MAC,2016,1.05776931643372,4.61591889898357,60.6488535835783,0.195618683773704,136.233120132549,0.799317232613725,11.6835068870388
Macao,MAC,2017,1.03483774363162,4.8072725119017,52.959096359175,0.227486975366639,116.540301001239,1.19507943629848,11.4119470231448
Macao,MAC,2018,0.982909363424553,4.48319860653082,62.1230141773404,0.217152000015563,93.1052803645913,1.0503249942855,10.5079714049885
Macao,MAC,2019,0.900455787047734,4.61016904068093,57.6501397762375,0.239743350610203,65.6870004236447,1.67230148782856,10.375000662047
Macao,MAC,2020,0.814193607653844,4.47210891613101,65.6296013953744,0.335715303712221,62.9721666878943,2.50705185278468,10.3877339323715
Madagascar,MDG,2006,4.54877202504967,9.85025452629635,47.3036080758377,6.14628369247261,12.7018406724903,17.0934517845492,14.2302216153849
Madagascar,MDG,2007,4.45408725678695,10.2573496205599,58.2966705385774,6.69734448663563,14.1616861858002,18.7918594431442,15.8902071784302
Madagascar,MDG,2008,3.87911692990821,9.88322940870355,56.0161644549021,6.39752363878781,10.9459397844805,18.220702683661,14.700884702595
Madagascar,MDG,2009,2.17214174713576,9.18265317050624,56.0138214535265,8.10398764695024,18.213557806651,24.997916132587,16.1743372362342
Madagascar,MDG,2010,2.06137009048786,9.78046207303658,50.7053632709527,9.6209688884802,18.3720514647004,25.3377025124126,16.0962642464423
Madagascar,MDG,2011,2.42173693934566,9.43516754883087,60.4272413775687,10.6935754743652,13.7448287752785,25.980971633856,16.9682729542024
Madagascar,MDG,2012,2.5518292379737,9.82619009261647,63.9933789116559,11.1257411528126,9.63223087694448,22.0300751436727,16.8959106764627
Madagascar,MDG,2013,3.02386935357447,10.6353142134946,56.4226298841076,11.6258508330996,12.7624452802376,25.5503837671907,15.963875432632
Madagascar,MDG,2014,4.19395832169553,11.2164396514651,51.4908601528384,10.119647910682,10.8981423163341,20.939779203338,14.645478588624
Madagascar,MDG,2015,4.61633748272754,11.5928708967932,46.8791948167126,9.00695636956275,11.742373502701,19.4772281083581,14.7595378395953
Madagascar,MDG,2016,3.92931474625237,10.7319544516945,54.550563069039,8.36389324348832,8.57612384183848,16.5033678345205,14.1404122998416
Madagascar,MDG,2017,4.27674589652226,10.3017241950901,53.5038133538451,7.67262120445378,8.93781031373587,16.817455988651,13.3789124094202
Madagascar,MDG,2018,4.37647286017011,10.6089115668103,54.8232969807332,7.26969218125448,5.63810548515359,15.6703720930402,13.5637188647267
Madagascar,MDG,2019,3.99200439758913,10.0288866511881,49.7889750420062,7.2064714286455,5.42143764084632,17.255915775657,13.3821533896906
Madagascar,MDG,2020,3.14802067148193,9.37839273305121,49.0998959037585,7.57213932825977,6.51700527125934,19.1732965631118,
Madagascar,MDG,2005,,10.2152861348392,48.6745084785672,7.60619709107682,8.71739318934624,19.723922241131,14.5103700100661
Malawi,MWI,2015,5.49986124623844,16.5244517828903,58.9501584101695,7.27171165156156,,12.8114777205896,12.4372607149832
Malawi,MWI,2016,4.70329036568518,16.3679786503167,72.2757407327702,10.2995803285911,,20.2274945454384,13.7206383763417
Malawi,MWI,2017,5.06441958347093,15.6039534606317,77.0048745064747,8.55433317223974,,14.6340530921747,15.2031612807103
Malawi,MWI,2018,3.42673063754043,11.4913624792886,64.0434271096764,2.8284352702654,,7.65846954302535,15.3992547062949
Malawi,MWI,2019,4.07247795375131,12.8312092766301,60.7336023588961,5.06307752763414,2.01846677231205,8.26886345635176,16.9641825901386
Malawi,MWI,2020,4.58702632643655,12.4772476036157,59.4688500057843,5.42544696371904,1.81041304525918,8.42702016290507,17.8752716042351
Malaysia,MYS,2005,1.24969623908485,,52.5224360580917,9.3902395222525,1.31491726063219,48.5403480019045,10.7876979970335
Malaysia,MYS,2006,1.34315188021418,,69.5974925588875,8.49559864909982,5.2355977678092,38.9225937165948,10.6951648152318
Malaysia,MYS,2007,1.50549728809129,,38.6600592915303,6.49881057815871,5.67241249609298,27.0478949794186,10.6292315616105
Malaysia,MYS,2008,1.47167227333172,,42.1276065329206,4.8081809717361,5.14972253381139,17.6652108462397,11.6918106609459
Malaysia,MYS,2009,1.2481021534732,,42.9505099270253,3.62656549307932,3.88254546593143,11.7902167248093,14.08654997702
Malaysia,MYS,2010,1.53701111929947,9.38424233021125,48.131448278913,3.35402670735158,9.312134550339,13.9288263495163,13.5214267485981
Malaysia,MYS,2011,1.51337180989433,8.8933083645556,36.5831384873737,2.6813903080324,14.6484835380678,11.5676776710775,13.4938466629065
Malaysia,MYS,2012,1.57942759921537,9.38594186853966,42.5255388482364,2.01584311320696,14.0651238157886,8.34367333093358,13.7129402886945
Malaysia,MYS,2013,1.48677217285032,9.59376853671365,40.9545795142262,1.84914657141208,13.8198233349304,8.05857957070805,13.4700472278253
Malaysia,MYS,2014,1.48732252064822,9.95168990456451,43.1791795966257,1.64578545979143,14.2014800591358,7.03797249498564,13.9612909975819
Malaysia,MYS,2015,1.24242422722441,10.4511677924432,133.965245524035,1.60682828804839,5.92974731251356,6.82355426729383,14.3575974437125
Malaysia,MYS,2016,1.34983061442664,10.9996934222293,130.344479907075,1.61426825593084,6.26194762517394,6.5974763463882,14.5549958639327
Malaysia,MYS,2017,1.44093316470363,11.2417529633546,138.294031718708,1.54918722685231,6.13133700760592,6.24027292289076,14.9744286148369
Malaysia,MYS,2018,1.41598654884246,11.2454848255146,151.014893277448,1.46819096567362,5.52274577021033,4.77051523995194,14.5949026857523
Malaysia,MYS,2019,1.48919318561271,11.6506156160324,158.803993530654,1.51612089778374,4.15457852998051,5.11115376806922,15.1353269230444
Malaysia,MYS,2020,1.06504362587387,11.6425452765566,152.239205583281,1.56662584950019,5.27423197955255,5.18875728901526,15.3317549401973
Maldives,MDV,2012,3.60809930730662,16.1080594404838,20.1852377726222,20.9246965468261,66.3611918172735,16.4753454043089,29.9263080847728
Maldives,MDV,2013,6.52873647615533,16.145248732643,25.396643763805,17.5678349504535,34.3477497746775,8.032070219146,31.2959493987415
Maldives,MDV,2014,4.21189757342995,21.3497688701685,57.6262741219855,17.4768777380032,30.9253794193707,11.0684745608644,34.4581998781688
Maldives,MDV,2015,3.36567177273183,20.4558756123396,56.3257938065846,14.0581063423942,20.954172551471,3.01270647731893,30.0038638270091
Maldives,MDV,2016,4.65782530087153,23.7115840804416,66.8470407475543,10.6304759690029,13.4050602525325,2.35431369724903,34.4410519967127
Maldives,MDV,2017,3.68388727199826,24.1459257428232,62.3094121671914,10.45472871593,11.9799160531838,3.3213992239867,36.2736097309436
Maldives,MDV,2018,3.6961993473259,23.8567281362972,60.7103913405113,8.89624779656533,12.4318545210094,2.40289805830654,35.8502010773449
Maldives,MDV,2019,4.86999058149203,25.0714387681031,61.4424114444122,9.39161010329621,6.5470358567089,3.4221806803748,38.8134758107318
Maldives,MDV,2020,1.68240573047179,22.2108559560982,71.7160462144519,8.25761202492316,15.4223678528929,0.711249214000536,42.0699583137086
Malta,MLT,2005,1.57645764543289,8.20318225034855,46.9635438074883,8.20906380726336,-3.62237898695166,32.6676746177377,14.3771892974226
Malta,MLT,2006,1.71519686964627,7.54371612550237,42.538392592575,6.47014997113968,1.17029443376427,26.9489727374274,12.8180338615095
Malta,MLT,2007,1.79808710297732,7.07750669742911,46.3312498118989,5.31015121085642,2.4066197459114,25.0353658686616,11.4625865396582
Malta,MLT,2008,0.846721212453488,6.59114049867271,43.7332576197119,5.01177403541518,-0.269448983084547,27.1065387278663,10.6101936247742
Malta,MLT,2009,1.50774385703649,7.20136706434643,42.7909027509611,5.78361456298065,-0.191171748088099,28.6877045427569,12.246769259583
Malta,MLT,2010,1.38669702943049,7.07454270629394,43.7381673667706,7.01546601498875,-0.0338987369512341,37.8066637552342,11.3726091601912
Malta,MLT,2011,1.30415237977845,7.32364008035896,45.4143711627358,7.0887209730083,-0.327081078121105,36.7566174635003,11.818696375274
Malta,MLT,2012,1.39110013913498,7.64764501732343,51.5444315007804,7.75198043495642,0.123613340955775,37.4360953726495,12.1168322653264
Malta,MLT,2013,1.46130768541752,8.07709209329933,51.6452440225934,8.94794785930365,0.143938877140323,39.0115287536667,12.878282009907
Malta,MLT,2014,1.09570201070321,7.37279166412926,50.4207085100595,8.82977689958829,1.04993738905478,41.588804337356,10.8919889080149
Malta,MLT,2015,1.29308084009004,7.18774740452993,37.324375965199,7.09795110848624,0.354294016063156,39.6267920287273,12.1481956537826
Malta,MLT,2016,1.16176460572875,7.39809846514853,38.3140232548517,5.29469189649343,0.376541525024193,27.9496786680231,13.5811168400035
Malta,MLT,2017,0.968556721271356,8.52000172703038,40.8672835334799,4.06995021537786,-0.0507956198134999,20.7460005133031,15.1864492619014
Malta,MLT,2018,0.709527732564765,8.40202523890737,35.9813268394641,3.35528926091019,-0.0067389337081464,16.634095153744,15.997277950087
Malta,MLT,2019,0.788267100165489,8.88846099696059,39.1030560206814,3.20817738501835,0.128516350135656,15.2474832214765,17.5808609074867
Mauritius,MUS,2009,1.668324849879,7.66423582951271,34.6366482647318,3.29242857718552,5.30129085030799,13.420253822557,13.2575676926211
Mauritius,MUS,2010,1.51555012288271,7.3386723769035,32.1117437170442,2.76498233309993,4.51376216076826,9.08762117109684,13.8274520898574
Mauritius,MUS,2011,1.33467094530716,7.25001720983152,26.181282885397,2.80757714682396,2.23727698785651,10.8075885034694,13.9419568173451
Mauritius,MUS,2012,1.4281546109081,8.46572419512964,27.4511556659988,3.63707898309436,2.10967320961307,12.4113386199306,15.5212703362261
Mauritius,MUS,2013,1.30231663306582,8.77360892351027,30.9764963047843,4.15037241131952,2.11358541250099,12.7246220532281,15.1177217004305
Mauritius,MUS,2014,1.41548074380698,9.3306665730606,30.1949981354175,4.91975055211583,2.3671240711072,16.4466671435286,15.1210414236458
Mauritius,MUS,2015,1.19691921701198,10.5199814997425,34.4890155865325,7.19532078019471,3.03995890896603,19.1069870172169,16.9770393393562
